source,image,old_class_id,old_class_ko,cx,cy,w,h,area,edges_touched,flags,is_representative
9ban,A1_B1_P9_2022-05-12_IR1_00040,21,MCCB,0.544,0.098,0.3823,0.1959,0.07491,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00040,21,MCCB,0.5505,0.8984,0.3923,0.2028,0.07953,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00040,21,MCCB,0.0672,0.2103,0.1341,0.2117,0.02838,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00041,21,MCCB,0.0638,0.8513,0.1275,0.1333,0.017,1,프레임접촉x1,0
9ban,A1_B1_P9_2022-05-12_IR1_00041,22,MCCB 접촉부,0.646,0.8892,0.0532,0.2142,0.01139,1,프레임접촉x1,0
9ban,A1_B1_P9_2022-05-12_IR1_00041,22,MCCB 접촉부,0.3922,0.1012,0.0471,0.1967,0.00926,1,프레임접촉x1,0
9ban,A1_B1_P9_2022-05-12_IR1_00041,22,MCCB 접촉부,0.3533,0.8783,0.0443,0.2394,0.01061,1,프레임접촉x1,0
9ban,A1_B1_P9_2022-05-12_IR1_00041,21,MCCB,0.0923,0.2013,0.1845,0.1978,0.03648,1,프레임접촉x1,0
9ban,A1_B1_P9_2022-05-12_IR1_00041,21,MCCB,0.0717,0.5616,0.1432,0.3174,0.04545,1,프레임접촉x1,0
9ban,A1_B1_P9_2022-05-12_IR1_00041,21,MCCB,0.5414,0.1068,0.3496,0.2136,0.07466,1,프레임접촉x1,0
9ban,A1_B1_P9_2022-05-12_IR1_00041,21,MCCB,0.5041,0.8806,0.3513,0.2387,0.08386,1,프레임접촉x1,0
9ban,A1_B1_P9_2022-05-12_IR1_00041,22,MCCB 접촉부,0.6717,0.0989,0.0493,0.1978,0.00974,1,프레임접촉x1,0
9ban,A1_B1_P9_2022-05-12_IR1_00042,22,MCCB 접촉부,0.3937,0.1028,0.0586,0.2056,0.01205,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00042,21,MCCB,0.0644,0.1919,0.1287,0.1862,0.02396,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00042,21,MCCB,0.0502,0.605,0.0997,0.4109,0.04096,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00042,21,MCCB,0.542,0.896,0.353,0.2065,0.07291,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00042,21,MCCB,0.5571,0.1217,0.395,0.2434,0.09615,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00042,22,MCCB 접촉부,0.9918,0.6541,0.0163,0.4198,0.00685,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00042,22,MCCB 접촉부,0.6948,0.9307,0.04,0.1376,0.0055,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00042,22,MCCB 접촉부,0.6935,0.1227,0.0574,0.2425,0.01391,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00043,22,MCCB 접촉부,0.3993,0.9298,0.0915,0.1404,0.01284,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00043,22,MCCB 접촉부,0.6799,0.9151,0.0493,0.1698,0.00836,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00043,21,MCCB,0.5392,0.9127,0.3703,0.1747,0.06468,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00043,22,MCCB 접촉부,0.0266,0.2386,0.0532,0.2737,0.01456,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00043,21,MCCB,0.5227,0.1195,0.4238,0.239,0.10128,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00043,22,MCCB 접촉부,0.3563,0.116,0.0817,0.232,0.01895,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00043,21,MCCB,0.0274,0.2449,0.0546,0.2912,0.01591,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00043,22,MCCB 접촉부,0.7047,0.1071,0.0536,0.21,0.01126,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00044,21,MCCB,0.4752,0.8724,0.3159,0.2552,0.08062,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00044,21,MCCB,0.0302,0.2008,0.0603,0.2278,0.01375,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00044,22,MCCB 접촉부,0.0302,0.2051,0.0598,0.2047,0.01224,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00044,22,MCCB 접촉부,0.6372,0.1129,0.0566,0.2244,0.01271,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00044,21,MCCB,0.4769,0.1188,0.3851,0.2376,0.0915,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00044,22,MCCB 접촉부,0.3496,0.8669,0.0546,0.2662,0.01452,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00044,22,MCCB 접촉부,0.6063,0.8705,0.0546,0.259,0.01413,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00045,21,MCCB,0.4393,0.1162,0.3859,0.2316,0.08937,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00045,22,MCCB 접촉부,0.5997,0.1026,0.0596,0.204,0.01216,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00046,22,MCCB 접촉부,0.3772,0.1016,0.0466,0.2004,0.00934,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00046,22,MCCB 접촉부,0.6778,0.1011,0.0469,0.2008,0.00941,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00046,22,MCCB 접촉부,0.67,0.8749,0.0464,0.2455,0.01139,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00046,21,MCCB,0.5258,0.1065,0.3566,0.2131,0.07599,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00046,21,MCCB,0.5226,0.8705,0.3546,0.2584,0.09161,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00047,22,MCCB 접촉부,0.9933,0.935,0.0133,0.1265,0.00168,2,프레임접촉x2,1
9ban,A1_B1_P9_2022-05-12_IR1_00047,22,MCCB 접촉부,0.3819,0.0916,0.0479,0.1815,0.00869,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00047,21,MCCB,0.5213,0.8653,0.3638,0.2682,0.09757,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00047,21,MCCB,0.5285,0.0932,0.3514,0.1863,0.06548,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00047,22,MCCB 접촉부,0.6745,0.0845,0.0605,0.1684,0.01019,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00047,22,MCCB 접촉부,0.3679,0.8672,0.0472,0.2628,0.0124,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00048,22,MCCB 접촉부,0.6454,0.896,0.0593,0.2022,0.012,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00048,21,MCCB,0.5246,0.1334,0.3391,0.2654,0.08999,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00048,21,MCCB,0.5199,0.878,0.3121,0.2437,0.07607,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00048,22,MCCB 접촉부,0.3789,0.127,0.039,0.2508,0.00978,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00048,22,MCCB 접촉부,0.4002,0.8799,0.0596,0.2402,0.01432,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00049,22,MCCB 접촉부,0.4047,0.8854,0.0337,0.2292,0.00771,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00049,21,MCCB,0.4955,0.1537,0.3471,0.3063,0.10631,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00049,22,MCCB 접촉부,0.3503,0.1537,0.0527,0.3043,0.01603,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00049,21,MCCB,0.5293,0.8826,0.2945,0.2347,0.06913,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00049,22,MCCB 접촉부,0.6606,0.8762,0.0431,0.2476,0.01067,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00050,22,MCCB 접촉부,0.5349,0.9467,0.0256,0.1065,0.00272,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00050,21,MCCB,0.5935,0.9443,0.1377,0.1113,0.01533,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00050,21,MCCB,0.3829,0.9443,0.1435,0.1113,0.01597,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00050,22,MCCB 접촉부,0.6602,0.983,0.0256,0.0341,0.00087,1,프레임접촉x1 초소형,1
9ban,A1_B1_P9_2022-05-12_IR1_00050,22,MCCB 접촉부,0.641,0.9472,0.0256,0.1057,0.0027,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00050,22,MCCB 접촉부,0.4383,0.9479,0.0272,0.1029,0.00279,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00050,22,MCCB 접촉부,0.3333,0.9461,0.0343,0.1046,0.00359,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00051,21,MCCB,0.2854,0.926,0.1439,0.1412,0.02033,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00051,22,MCCB 접촉부,0.343,0.9267,0.03,0.1427,0.00428,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00052,22,MCCB 접촉부,0.5737,0.0535,0.0246,0.1071,0.00263,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00052,21,MCCB,0.6311,0.0581,0.1366,0.1163,0.01588,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00052,22,MCCB 접촉부,0.6895,0.0608,0.0261,0.119,0.0031,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00054,21,MCCB,0.5155,0.9788,0.3971,0.0425,0.01686,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00054,22,MCCB 접촉부,0.6897,0.9758,0.0354,0.0478,0.0017,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00055,22,MCCB 접촉부,0.2813,0.9351,0.0381,0.1295,0.00494,1,프레임접촉x1,0
9ban,A1_B1_P9_2022-05-12_IR1_00055,21,MCCB,0.4452,0.9279,0.3753,0.1442,0.05412,1,프레임접촉x1,0
9ban,A1_B1_P9_2022-06-17_IR1_00003,22,MCCB 접촉부,0.708,0.0409,0.0578,0.0817,0.00472,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00003,21,MCCB,0.5469,0.0419,0.3846,0.0825,0.03171,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00004,22,MCCB 접촉부,0.7111,0.025,0.0615,0.0499,0.00307,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00004,21,MCCB,0.552,0.0412,0.3963,0.082,0.0325,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00005,21,MCCB,0.4802,0.9541,0.5146,0.0918,0.04726,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00005,22,MCCB 접촉부,0.6641,0.956,0.0783,0.088,0.00689,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00005,22,MCCB 접촉부,0.2498,0.9625,0.0783,0.0749,0.00586,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00006,21,MCCB,0.5001,0.8849,0.4612,0.23,0.10605,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00006,22,MCCB 접촉부,0.307,0.8872,0.0662,0.2249,0.01489,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00006,22,MCCB 접촉부,0.6973,0.9001,0.0641,0.1993,0.01278,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00007,21,MCCB,0.5208,0.9521,0.6063,0.0958,0.05808,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00007,22,MCCB 접촉부,0.2988,0.9565,0.0853,0.0871,0.00743,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00007,22,MCCB 접촉부,0.7823,0.9482,0.0646,0.1035,0.00669,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00008,22,MCCB 접촉부,0.7055,0.0396,0.0657,0.0791,0.0052,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00008,22,MCCB 접촉부,0.7067,0.9165,0.0657,0.1652,0.01085,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00008,22,MCCB 접촉부,0.0152,0.1441,0.0304,0.1668,0.00508,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00008,21,MCCB,0.5203,0.0461,0.442,0.0914,0.04038,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00008,21,MCCB,0.5188,0.9142,0.4499,0.1716,0.0772,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00008,22,MCCB 접촉부,0.3328,0.9272,0.0853,0.1455,0.01242,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00008,22,MCCB 접촉부,0.3391,0.0457,0.0853,0.0914,0.0078,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00008,22,MCCB 접촉부,0.0186,0.5661,0.037,0.4739,0.01755,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00009,21,MCCB,0.482,0.0412,0.3574,0.0809,0.02891,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00009,22,MCCB 접촉부,0.6308,0.9525,0.0547,0.0951,0.0052,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00009,21,MCCB,0.4206,0.9492,0.4877,0.1016,0.04954,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00009,22,MCCB 접촉부,0.6176,0.0349,0.0792,0.0695,0.0055,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00009,22,MCCB 접촉부,0.2192,0.963,0.0853,0.0739,0.00631,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00011,21,MCCB,0.5496,0.0583,0.4881,0.1165,0.05688,1,프레임접촉x1,0
9ban,A1_B1_P9_2022-06-17_IR1_00011,22,MCCB 접촉부,0.7572,0.0647,0.0676,0.1294,0.00874,1,프레임접촉x1,0
9ban,A1_B1_P9_2022-06-17_IR1_00012,22,MCCB 접촉부,0.2393,0.9302,0.054,0.1395,0.00754,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00012,21,MCCB,0.4621,0.9253,0.5119,0.1489,0.07624,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00012,22,MCCB 접촉부,0.6868,0.952,0.0657,0.0957,0.00629,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00012,21,MCCB,0.5028,0.0473,0.3947,0.0932,0.03678,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00013,21,MCCB,0.4834,0.048,0.3633,0.0948,0.03442,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00014,21,MCCB,0.5092,0.0681,0.3917,0.1355,0.05309,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00014,22,MCCB 접촉부,0.6765,0.0722,0.0496,0.1423,0.00706,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00014,21,MCCB,0.4386,0.9068,0.4591,0.1863,0.08555,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00014,22,MCCB 접촉부,0.6353,0.9195,0.0853,0.161,0.01374,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00015,22,MCCB 접촉부,0.736,0.021,0.0691,0.042,0.0029,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00015,21,MCCB,0.5439,0.0364,0.4734,0.0724,0.03427,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00016,21,MCCB,0.4536,0.9226,0.5848,0.1547,0.0905,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00016,22,MCCB 접촉부,0.6943,0.9249,0.0853,0.1503,0.01282,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00016,22,MCCB 접촉부,0.2147,0.9451,0.0853,0.1098,0.00936,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-06-17_IR1_00017,21,MCCB,0.5432,0.0422,0.4766,0.0842,0.04012,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00001,21,MCCB,0.6473,0.9792,0.157,0.0417,0.00654,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00001,22,MCCB 접촉부,0.7156,0.9782,0.043,0.0435,0.00187,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00003,22,MCCB 접촉부,0.6259,0.0214,0.0355,0.0429,0.00152,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00003,22,MCCB 접촉부,0.5067,0.0171,0.0367,0.0341,0.00125,1,프레임접촉x1 초소형,1
9ban,A1_B2_P9_2022-05-12_IR1_00003,21,MCCB,0.5667,0.0201,0.1551,0.0403,0.00625,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00003,22,MCCB 접촉부,0.4025,0.0329,0.0304,0.0658,0.002,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00005,21,MCCB,0.5267,0.637,0.5468,0.7208,0.39416,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00005,22,MCCB 접촉부,0.7454,0.4913,0.073,0.9825,0.07172,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00006,22,MCCB 접촉부,0.7185,0.841,0.0709,0.3181,0.02256,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00006,21,MCCB,0.5171,0.1911,0.4302,0.3821,0.16439,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00006,22,MCCB 접촉부,0.6974,0.1336,0.0658,0.2645,0.01742,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00006,22,MCCB 접촉부,0.3614,0.8052,0.0709,0.3897,0.02764,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00007,22,MCCB 접촉부,0.6335,0.804,0.0709,0.3921,0.02781,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00007,22,MCCB 접촉부,0.2693,0.832,0.0709,0.336,0.02384,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00007,21,MCCB,0.4876,0.8464,0.4295,0.3071,0.13191,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00007,22,MCCB 접촉부,0.7185,0.203,0.0709,0.406,0.0288,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00008,21,MCCB,0.4898,0.1569,0.4053,0.3139,0.12722,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00008,21,MCCB,0.4567,0.847,0.3873,0.3059,0.11848,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00008,22,MCCB 접촉부,0.6421,0.1504,0.079,0.3008,0.02377,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00008,22,MCCB 접촉부,0.2854,0.8602,0.079,0.2795,0.02208,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00008,22,MCCB 접촉부,0.6102,0.859,0.079,0.2819,0.02227,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00009,21,MCCB,0.5136,0.1482,0.3679,0.2963,0.10901,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00009,21,MCCB,0.508,0.8765,0.4548,0.2471,0.11238,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00009,22,MCCB 접촉부,0.3266,0.8861,0.0531,0.2279,0.01211,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00009,22,MCCB 접촉부,0.6854,0.8747,0.0531,0.2505,0.01331,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00010,22,MCCB 접촉부,0.2895,0.8509,0.0581,0.2973,0.01727,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00010,22,MCCB 접촉부,0.6371,0.1287,0.0554,0.2574,0.01427,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00010,21,MCCB,0.4854,0.141,0.358,0.282,0.10096,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00011,22,MCCB 접촉부,0.6933,0.8869,0.0572,0.2262,0.01294,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00011,21,MCCB,0.4908,0.6456,0.4584,0.7063,0.32377,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00011,21,MCCB,0.5105,0.1336,0.411,0.2671,0.10978,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00011,22,MCCB 접촉부,0.6791,0.1454,0.0554,0.2908,0.01612,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00011,22,MCCB 접촉부,0.3373,0.1412,0.0554,0.2824,0.01566,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00011,22,MCCB 접촉부,0.2935,0.889,0.0699,0.222,0.01551,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00012,22,MCCB 접촉부,0.289,0.9144,0.0685,0.1713,0.01173,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00012,22,MCCB 접촉부,0.6881,0.9263,0.0685,0.1474,0.0101,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00012,21,MCCB,0.5283,0.1497,0.4078,0.2993,0.12205,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00012,22,MCCB 접촉부,0.3525,0.1487,0.0588,0.2974,0.01748,1,프레임접촉x1,1
9ban,A1_B2_P9_2022-05-12_IR1_00012,21,MCCB,0.4954,0.6623,0.4928,0.673,0.33164,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00005,21,MCCB,0.4961,0.8538,0.3091,0.2923,0.09035,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00005,22,MCCB 접촉부,0.622,0.8493,0.0453,0.2939,0.01333,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00006,21,MCCB,0.6347,0.8553,0.3132,0.2894,0.09062,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00006,22,MCCB 접촉부,0.5154,0.8558,0.0658,0.2843,0.0187,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00007,22,MCCB 접촉부,0.5995,0.8652,0.0531,0.2697,0.01433,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00007,22,MCCB 접촉부,0.3954,0.8634,0.0531,0.2732,0.01452,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00007,21,MCCB,0.492,0.8703,0.2622,0.2594,0.068,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00008,22,MCCB 접촉부,0.561,0.8986,0.0401,0.2028,0.00813,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00008,21,MCCB,0.4495,0.8962,0.254,0.2075,0.05271,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00008,22,MCCB 접촉부,0.3355,0.889,0.0401,0.2219,0.00889,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00009,22,MCCB 접촉부,0.5687,0.8922,0.0503,0.2111,0.01061,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00009,22,MCCB 접촉부,0.7561,0.897,0.0503,0.206,0.01035,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00009,21,MCCB,0.4857,0.8656,0.2304,0.2677,0.06167,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00009,21,MCCB,0.7995,0.8859,0.1241,0.2281,0.02832,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00011,21,MCCB,0.7672,0.978,0.2102,0.0436,0.00916,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00012,21,MCCB,0.792,0.9644,0.1496,0.0713,0.01067,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00012,22,MCCB 접촉부,0.7418,0.9631,0.0339,0.0737,0.0025,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00013,21,MCCB,0.4763,0.8545,0.275,0.2911,0.08005,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00013,22,MCCB 접촉부,0.5922,0.8594,0.0386,0.2794,0.01079,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00014,21,MCCB,0.12,0.8157,0.2399,0.2371,0.05688,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00014,22,MCCB 접촉부,0.0174,0.4916,0.0348,0.2986,0.01039,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00014,21,MCCB,0.1228,0.4945,0.2457,0.2882,0.07081,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00016,21,MCCB,0.1306,0.6666,0.2603,0.2979,0.07756,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00016,22,MCCB 접촉부,0.2424,0.9266,0.0471,0.1467,0.00691,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00016,22,MCCB 접촉부,0.0202,0.6883,0.0405,0.238,0.00963,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00017,21,MCCB,0.5332,0.9592,0.2142,0.0817,0.01749,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00017,22,MCCB 접촉부,0.4509,0.9636,0.0434,0.0728,0.00316,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00017,22,MCCB 접촉부,0.6093,0.9743,0.0434,0.0513,0.00223,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00018,21,MCCB,0.1028,0.7778,0.205,0.1795,0.0368,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00018,21,MCCB,0.1025,0.4957,0.205,0.1795,0.0368,1,프레임접촉x1,1
9ban,A1_B3_P9_2022-05-24_IR1_00018,22,MCCB 접촉부,0.0114,0.4855,0.0228,0.1788,0.00409,1,프레임접촉x1,1
