pair_id,rel_a,rel_b,image_id_a,image_id_b,panel,camera_a,camera_b,session_a,session_b,same_session,cluster_a,cluster_b,same_cluster,split_a,split_b,hamming,cosine,cos_bin,cell
pair_0067,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_3_00917.jpg,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_00631.jpg,P9/A2_B1_P9_2022-07-11_IR2_3_00917,P9/A3_B4_P9_2022-07-15_IR2_00631,P9,IR2,IR2,3,,0,P9-C83325,P9-C95840,0,train,test,10,0.9112,0.9079~0.9155,P9|IR2|diff|0.9079~0.9155
pair_0068,P6-VCB반/A1_B1_P6_2022-07-19_IR3_01509.jpg,P6-VCB반/A1_B1_P6_2022-07-19_IR3_01515.jpg,P6/A1_B1_P6_2022-07-19_IR3_01509,P6/A1_B1_P6_2022-07-19_IR3_01515,P6,IR3,IR3,,,1,P6-C59781,P6-C59785,0,train,val,8,0.9014,0.9000~0.9079,P6|IR3|same|0.9000~0.9079
pair_0069,P9-MCCB반/A1_B1_P9_2022-07-19_IR2_00006.jpg,P9-MCCB반/A1_B1_P9_2022-07-19_IR2_00678.jpg,P9/A1_B1_P9_2022-07-19_IR2_00006,P9/A1_B1_P9_2022-07-19_IR2_00678,P9,IR2,IR2,,,1,P9-C75364,P9-C75538,0,test,train,16,0.9198,0.9155~0.9228,P9|IR2|same|0.9155~0.9228
pair_0070,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_5_00728.jpg,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_6_01741.jpg,P1/A2_B1_P1_2022-07-11_IR2_5_00728,P1/A2_B1_P1_2022-07-11_IR2_6_01741,P1,IR2,IR2,5,6,0,P1-C23528,P1-C24693,0,train,test,12,0.9272,0.9228~0.9300,P1|IR2|diff|0.9228~0.9300
pair_0071,P1-TR반/A3_B4_P1_2022-07-15_IR2_09379.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_08247.jpg,P1/A3_B4_P1_2022-07-15_IR2_09379,P1/A3_B4_P1_2022-07-15_IR2_08247,P1,IR2,IR2,,,1,P1-C296,P1-C44330,0,train,test,14,0.9144,0.9079~0.9155,P1|IR2|same|0.9079~0.9155
pair_0072,P1-TR반/New Folder With Items/A3_B1_P1_2022-07-01_IR3_01283.jpg,P1-TR반/New Folder With Items/A3_B1_P1_2022-07-01_IR3_02173.jpg,P1/A3_B1_P1_2022-07-01_IR3_01283,P1/A3_B1_P1_2022-07-01_IR3_02173,P1,IR3,IR3,,,1,P1-C33790,P1-C34165,0,test,train,10,0.92,0.9155~0.9228,P1|IR3|same|0.9155~0.9228
pair_0073,P1-TR반/New Folder With Items/A1_B3_P1_2022-05-24_IR1_00016.jpg,P1-TR반/New Folder With Items/A1_B3_P1_2022-05-24_IR1_00082.jpg,P1/A1_B3_P1_2022-05-24_IR1_00016,P1/A1_B3_P1_2022-05-24_IR1_00082,P1,IR1,IR1,,,1,P1-C13290,P1-C13358,0,train,test,10,0.9082,0.9079~0.9155,P1|IR1|same|0.9079~0.9155
pair_0074,P1-TR반/New Folder With Items/A3_B1_P1_2022-07-01_IR3_00771.jpg,P1-TR반/New Folder With Items/A3_B1_P1_2022-07-01_IR3_00845.jpg,P1/A3_B1_P1_2022-07-01_IR3_00771,P1/A3_B1_P1_2022-07-01_IR3_00845,P1,IR3,IR3,,,1,P1-C33483,P1-C33537,0,train,val,16,0.9244,0.9228~0.9300,P1|IR3|same|0.9228~0.9300
pair_0075,P8-ACB반/A2_B1_P8_2022-07-11_IR2_2_01651.jpg,P8-ACB반/A2_B1_P8_2022-07-11_IR2_3_01676.jpg,P8/A2_B1_P8_2022-07-11_IR2_2_01651,P8/A2_B1_P8_2022-07-11_IR2_3_01676,P8,IR2,IR2,2,3,0,P8-C71480,P8-C71536,0,train,test,16,0.9187,0.9155~0.9228,P8|IR2|diff|0.9155~0.9228
pair_0076,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_1_01375.jpg,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_1_01409.jpg,P1/A2_B1_P1_2022-07-11_IR2_1_01375,P1/A2_B1_P1_2022-07-11_IR2_1_01409,P1,IR2,IR2,1,1,1,P1-C18953,P1-C19311,0,train,val,12,0.9177,0.9155~0.9228,P1|IR2|same|0.9155~0.9228
pair_0077,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_01923.jpg,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_03665.jpg,P9/A3_B2_P9_2022-07-15_IR2_01923,P9/A3_B4_P9_2022-07-15_IR2_03665,P9,IR2,IR2,,,1,P9-C90833,P9-C96960,0,val,test,16,0.9181,0.9155~0.9228,P9|IR2|same|0.9155~0.9228
pair_0078,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_4_00632.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_05768.jpg,P1/A2_B1_P1_2022-07-11_IR2_4_00632,P1/A3_B4_P1_2022-07-15_IR2_05768,P1,IR2,IR2,4,,0,P1-C22758,P1-C44925,0,train,val,10,0.9218,0.9155~0.9228,P1|IR2|diff|0.9155~0.9228
pair_0079,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_06171.jpg,P1-TR반/New Folder With Items/A3_B1_P1_2022-07-01_IR3_02204.jpg,P1/A2_B1_P1_2022-07-11_IR3_06171,P1/A3_B1_P1_2022-07-01_IR3_02204,P1,IR3,IR3,,,1,P1-C30483,P1-C34299,0,train,val,8,0.912,0.9079~0.9155,P1|IR3|same|0.9079~0.9155
pair_0080,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_10_00534.jpg,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_7_01364.jpg,P9/A2_B1_P9_2022-07-11_IR2_10_00534,P9/A2_B1_P9_2022-07-11_IR2_7_01364,P9,IR2,IR2,10,7,0,P9-C82321,P9-C85055,0,train,test,8,0.9239,0.9228~0.9300,P9|IR2|diff|0.9228~0.9300
pair_0081,P9-MCCB반/A1_B2_P9_2022-07-19_IR2_02758.jpg,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_05604.jpg,P9/A1_B2_P9_2022-07-19_IR2_02758,P9/A3_B2_P9_2022-07-15_IR2_05604,P9,IR2,IR2,,,1,P9-C78302,P9-C92288,0,train,val,16,0.9154,0.9079~0.9155,P9|IR2|same|0.9079~0.9155
pair_0082,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_10_00575.jpg,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_7_01410.jpg,P9/A2_B1_P9_2022-07-11_IR2_10_00575,P9/A2_B1_P9_2022-07-11_IR2_7_01410,P9,IR2,IR2,10,7,0,P9-C82334,P9-C84544,0,train,test,16,0.9165,0.9155~0.9228,P9|IR2|diff|0.9155~0.9228
pair_0083,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR2_00733.jpg,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_02202.jpg,P1/A1_B2_P1_2022-07-19_IR2_00733,P1/A1_B3_P1_2022-07-19_IR2_02202,P1,IR2,IR2,,,1,P1-C9607,P1-C14481,0,val,train,12,0.9038,0.9000~0.9079,P1|IR2|same|0.9000~0.9079
pair_0084,P7-VCB&CT반/A1_B1_P7_2022-07-25_IR2_00592.jpg,P7-VCB&CT반/A1_B1_P7_2022-07-25_IR2_01346.jpg,P7/A1_B1_P7_2022-07-25_IR2_00592,P7/A1_B1_P7_2022-07-25_IR2_01346,P7,IR2,IR2,,,1,P7-C68602,P7-C68799,0,train,test,10,0.9147,0.9079~0.9155,P7|IR2|same|0.9079~0.9155
pair_0085,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_4_01406.jpg,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_01883.jpg,P9/A2_B1_P9_2022-07-11_IR2_4_01406,P9/A3_B4_P9_2022-07-15_IR2_01883,P9,IR2,IR2,4,,0,P9-C83880,P9-C96281,0,test,train,14,0.9217,0.9155~0.9228,P9|IR2|diff|0.9155~0.9228
pair_0086,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_3_01212.jpg,P1-TR반/New Folder With Items/A3_B2_P1_2022-07-15_IR2_03670.jpg,P1/A2_B1_P1_2022-07-11_IR2_3_01212,P1/A3_B2_P1_2022-07-15_IR2_03670,P1,IR2,IR2,3,,0,P1-C21631,P1-C35817,0,val,train,14,0.9232,0.9228~0.9300,P1|IR2|diff|0.9228~0.9300
pair_0087,P9-MCCB반/A1_B2_P9_2022-07-19_IR2_03910.jpg,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_01909.jpg,P9/A1_B2_P9_2022-07-19_IR2_03910,P9/A3_B4_P9_2022-07-15_IR2_01909,P9,IR2,IR2,,,1,P9-C78817,P9-C96281,0,test,train,14,0.9149,0.9079~0.9155,P9|IR2|same|0.9079~0.9155
pair_0088,P1-TR반/A3_B4_P1_2022-07-15_IR3_00468.jpg,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_04564.jpg,P1/A3_B4_P1_2022-07-15_IR3_00468,P1/A2_B1_P1_2022-07-11_IR3_04564,P1,IR3,IR3,,,1,P1-C810,P1-C29650,0,val,train,12,0.9194,0.9155~0.9228,P1|IR3|same|0.9155~0.9228
pair_0089,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_6_01038.jpg,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_05212.jpg,P9/A2_B1_P9_2022-07-11_IR2_6_01038,P9/A3_B2_P9_2022-07-15_IR2_05212,P9,IR2,IR2,6,,0,P9-C84401,P9-C92110,0,val,test,16,0.9228,0.9228~0.9300,P9|IR2|diff|0.9228~0.9300
pair_0090,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_01291.jpg,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_05689.jpg,P9/A3_B2_P9_2022-07-15_IR2_01291,P9/A3_B2_P9_2022-07-15_IR2_05689,P9,IR2,IR2,,,1,P9-C90546,P9-C92311,0,val,train,14,0.9188,0.9155~0.9228,P9|IR2|same|0.9155~0.9228
pair_0091,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_2_00435.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_07847.jpg,P1/A2_B1_P1_2022-07-11_IR2_2_00435,P1/A3_B4_P1_2022-07-15_IR2_07847,P1,IR2,IR2,2,,0,P1-C19977,P1-C45654,0,val,train,14,0.9113,0.9079~0.9155,P1|IR2|diff|0.9079~0.9155
pair_0092,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR3_01855.jpg,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR3_03815.jpg,P1/A1_B3_P1_2022-07-19_IR3_01855,P1/A1_B3_P1_2022-07-19_IR3_03815,P1,IR3,IR3,,,1,P1-C16365,P1-C17486,0,train,test,16,0.9003,0.9000~0.9079,P1|IR3|same|0.9000~0.9079
pair_0093,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_6_01881.jpg,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_03105.jpg,P9/A2_B1_P9_2022-07-11_IR2_6_01881,P9/A3_B4_P9_2022-07-15_IR2_03105,P9,IR2,IR2,6,,0,P9-C79813,P9-C96612,0,train,val,14,0.9214,0.9155~0.9228,P9|IR2|diff|0.9155~0.9228
pair_0094,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_10_01592.jpg,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_7_01352.jpg,P9/A2_B1_P9_2022-07-11_IR2_10_01592,P9/A2_B1_P9_2022-07-11_IR2_7_01352,P9,IR2,IR2,10,7,0,P9-C82321,P9-C85055,0,train,test,10,0.9053,0.9000~0.9079,P9|IR2|diff|0.9000~0.9079
pair_0095,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_4_01041.jpg,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_7_01991.jpg,P9/A2_B1_P9_2022-07-11_IR2_4_01041,P9/A2_B1_P9_2022-07-11_IR2_7_01991,P9,IR2,IR2,4,7,0,P9-C83766,P9-C84913,0,val,train,12,0.9211,0.9155~0.9228,P9|IR2|diff|0.9155~0.9228
pair_0096,P9-MCCB반/A1_B1_P9_2022-07-27_IR2_00270.jpg,P9-MCCB반/A1_B1_P9_2022-07-27_IR2_00278.jpg,P9/A1_B1_P9_2022-07-27_IR2_00270,P9/A1_B1_P9_2022-07-27_IR2_00278,P9,IR2,IR2,,,1,P9-C77224,P9-C77226,0,train,test,14,0.9006,0.9000~0.9079,P9|IR2|same|0.9000~0.9079
pair_0097,P1-TR반/A3_B4_P1_2022-07-15_IR2_08689.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_03987.jpg,P1/A3_B4_P1_2022-07-15_IR2_08689,P1/A3_B4_P1_2022-07-15_IR2_03987,P1,IR2,IR2,,,1,P1-C44824,P1-C44469,0,train,test,6,0.9233,0.9228~0.9300,P1|IR2|same|0.9228~0.9300
pair_0098,P1-TR반/New Folder With Items/A1_B1_P1_2022-07-25_IR2_01151.jpg,P1-TR반/New Folder With Items/A1_B1_P1_2022-07-27_IR2_00125.jpg,P1/A1_B1_P1_2022-07-25_IR2_01151,P1/A1_B1_P1_2022-07-27_IR2_00125,P1,IR2,IR2,,,1,P1-C8451,P1-C8701,0,train,test,8,0.903,0.9000~0.9079,P1|IR2|same|0.9000~0.9079
pair_0099,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_5_01965.jpg,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_6_00541.jpg,P1/A2_B1_P1_2022-07-11_IR2_5_01965,P1/A2_B1_P1_2022-07-11_IR2_6_00541,P1,IR2,IR2,5,6,0,P1-C23486,P1-C24651,0,train,test,16,0.9207,0.9155~0.9228,P1|IR2|diff|0.9155~0.9228
pair_0100,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_3_01431.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_03787.jpg,P1/A2_B1_P1_2022-07-11_IR2_3_01431,P1/A3_B4_P1_2022-07-15_IR2_03787,P1,IR2,IR2,3,,0,P1-C21781,P1-C44206,0,test,train,14,0.9088,0.9079~0.9155,P1|IR2|diff|0.9079~0.9155
pair_0101,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_3_01185.jpg,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_4_00983.jpg,P9/A2_B1_P9_2022-07-11_IR2_3_01185,P9/A2_B1_P9_2022-07-11_IR2_4_00983,P9,IR2,IR2,3,4,0,P9-C83134,P9-C83524,0,test,train,14,0.9004,0.9000~0.9079,P9|IR2|diff|0.9000~0.9079
